,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
0,603199.XSHG,2015-04-28,41.27,38.8464,3.01,6.64,-251.39,603199.XSHG,2.1,2.07,1.37,16.09,51.01,78.66,21.34,16.09,3.59,15.76,4.55,98.49,0.0,98.48,88.43,6.65,31.15,-4.35,-3.59,-4.35,-3.59,7.7,15.62,4.85,10.19,4.85,10.19,1,1,1
0,603199.XSHG,2015-08-28,78.39,79.1856,6.04,12.85,16.69,603199.XSHG,3.7,3.55,2.7,21.92,52.6,72.11,27.89,21.92,6.2,12.96,0.56,95.81,0.0,95.82,96.33,39.75,142.54,-0.96,30.67,-0.96,30.67,6.88,70.77,23.08,78.07,23.08,78.07,-1,-1,-1
0,603199.XSHG,2015-10-16,63.39,68.7025,5.24,11.18,75.01,603199.XSHG,2.81,2.85,2.08,19.66,50.05,73.24,26.76,19.66,4.26,13.63,0.18,101.71,0.0,101.72,95.0,37.85,141.44,-1.65,-14.32,-1.65,-14.32,25.0,-17.78,11.56,-23.16,11.56,-23.16,-1,1,1
0,603199.XSHG,2016-04-15,77.16,86.0458,6.41,14.06,152.0,603199.XSHG,1.44,1.75,1.06,11.33,44.3,82.6,18.28,11.33,6.98,16.11,-0.06,115.65,5.85,121.4,121.98,61.78,355.08,-3.2,-10.3,-3.2,-10.3,-0.55,-38.74,-22.06,-48.31,-22.06,-48.31,-1,1,1
0,603199.XSHG,2016-04-15,56.23,58.5443,4.67,10.25,110.76,603199.XSHG,2.96,2.99,2.62,24.35,54.66,67.02,32.98,24.35,4.07,11.95,-0.01,101.23,0.0,101.24,90.77,17.28,52.41,22.1,21.6,22.1,21.6,88.7,119.38,84.85,161.34,84.85,161.34,-1,1,1
0,603199.XSHG,2016-07-12,63.2,74.2375,5.68,12.47,-26.89,603199.XSHG,2.5725,2.5024,2.3103,22.2109,52.1063,71.1383,28.8617,22.2109,5.7275,15.5419,-0.6352,97.2864,,97.2773,99.3157,47.4338,164.3487,-9.0857,-2.7106,-9.0857,-2.7106,-5.908,-14.8506,-7.8842,-11.2592,-7.8842,-11.2592,-1,-1,-1
0,603199.XSHG,2016-10-11,55.59,63.6971,4.83,10.98,163.8,603199.XSHG,1.6097,1.8983,1.4337,16.2701,44.3331,74.7665,25.6866,16.2701,5.5021,13.1335,-0.1368,115.7579,,117.9295,102.8226,33.3713,132.25,-8.1505,-13.4433,-8.1505,-13.4433,-11.8467,-22.9656,-23.9928,-36.5949,-23.9928,-36.5949,-1,-1,-1
0,603199.XSHG,2017-04-15,57.55,62.0056,4.63,10.91,96.1,603199.XSHG,0.8553,0.6749,0.7573,9.0206,38.6294,89.8698,10.8379,9.0206,7.844,18.0613,0.008,83.0328,5.8003,78.9073,122.0426,56.4936,557.6722,-0.6327,-2.9635,-0.6327,-2.9635,-41.0829,-59.0575,-20.8889,-46.2002,-20.8889,-46.2002,1,1,1
0,603199.XSHG,2017-04-15,53.28,57.4479,4.28,10.1,88.97,603199.XSHG,3.8179,3.7491,3.3939,30.4538,55.2716,61.0113,39.9727,30.4538,4.0042,10.5747,0.0548,95.7856,2.4176,98.1988,95.4541,23.4099,60.0428,10.6421,35.4003,10.6421,35.4003,34.1155,399.3881,38.3741,357.1161,38.3741,357.1161,1,1,1
0,603199.XSHG,2017-07-14,51.1641,58.2964,4.4132,10.4524,-47.3497,603199.XSHG,2.2387,2.2478,1.9817,18.2455,48.0847,76.9806,24.5138,18.2455,6.2033,17.3766,0.0532,94.2854,6.1206,100.4075,103.0389,48.2782,209.7279,13.8392,0.1006,13.8392,0.1006,-3.3104,-38.6121,-6.485,-40.0278,-6.485,-40.0278,-1,-1,-1
,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
0,603200.XSHG,2017-08-16,50.2605,52.0797,4.6363,10.1716,38.3859,603200.XSHG,3.0605,2.6234,2.6552,21.3743,42.2299,79.6006,20.5394,21.3743,4.1093,16.5703,-0.0925,84.5388,0.58,85.72,51.5167,-11.6157,-56.9412,,6.2936,,6.2936,,27.2166,,33.404,,33.404,-1,-1,-1
,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
0,603203.XSHG,2017-04-22,62.89,70.907,23.77,21.85,-411.45,603203.XSHG,7.8624,7.8278,6.6746,44.9676,64.9834,48.8078,52.0601,44.9676,3.224,10.7333,-2.8698,99.5694,1.6882,99.5598,131.6572,45.5778,89.0327,38.8446,-5.3313,38.8446,-5.3313,52.9162,43.1672,48.2287,40.7282,48.2287,40.7282,-1,-1,-1
0,603203.XSHG,2017-04-22,50.07,50.0665,21.22,18.06,-367.37,603203.XSHG,4.1332,4.0093,3.6557,34.9502,58.6222,59.7966,40.2034,34.9502,6.9251,11.3038,-1.0894,97.0412,,97.0028,108.1432,24.4308,60.768,35.9059,-0.3968,35.9059,-0.3968,35.3667,-23.0816,36.568,-22.5852,36.568,-22.5852,-1,-1,-1
,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
0,603208.XSHG,2017-04-28,45.49,53.2954,12.84,6.52,91.36,603208.XSHG,2.8633,2.764,1.8088,10.7421,30.479,88.1137,12.1223,10.7421,8.9231,8.3563,0.0393,96.4435,1.9148,96.5291,98.5374,-32.1655,-270.6108,74.1745,,74.1745,,77.9484,,76.5201,,76.3926,,-1,-1,-1
,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
0,603218.XSHG,2017-04-27,51.03,44.9501,12.56,11.51,862.97,603218.XSHG,2.1355,1.8234,1.5909,16.9268,26.608,82.8981,17.1019,16.9268,2.2042,7.8965,0.2595,85.4579,,85.3851,113.678,19.7171,115.2918,2.8525,,2.8525,,-24.2712,,-7.1823,,-7.1823,,-1,-1,-1
,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
0,603222.XSHG,2015-04-24,62.13,62.1289,5.08,7.33,-674.23,603222.XSHG,1.93,2.17,1.56,9.72,49.34,87.16,12.84,9.72,21.58,11.37,0.01,114.14,0.0,112.7,98.05,0.46,3.55,-1.93,-2.38,-1.93,-2.38,13.68,-15.34,-0.03,-20.6,-0.03,-20.6,1,1,1
0,603222.XSHG,2015-08-13,91.39,91.3873,7.61,10.83,224.81,603222.XSHG,2.0,1.94,1.61,10.29,47.65,89.48,11.82,10.29,23.88,12.37,-0.17,87.4,10.88,97.09,118.17,24.55,233.44,-14.59,-3.0,-14.59,-3.0,-35.56,-10.65,-36.15,2.73,-36.15,2.73,-1,-1,-1
0,603222.XSHG,2015-10-28,70.18,62.3512,5.19,7.68,42.95,603222.XSHG,2.91,3.04,2.35,13.74,47.7,84.44,16.57,13.74,20.43,11.23,-0.99,99.42,6.46,104.64,113.3,17.82,114.55,-4.32,10.37,-4.32,10.37,19.2,54.68,12.36,47.31,12.36,47.31,1,1,1
0,603222.XSHG,2016-04-28,116.99,107.6697,8.75,13.43,52.53,603222.XSHG,2.18,1.35,1.71,12.23,49.08,87.88,13.28,12.23,22.0,16.15,-1.18,80.96,7.75,61.79,53.18,37.04,305.58,-11.31,-15.14,-11.31,-15.14,-20.43,-31.99,-9.24,-24.46,-8.98,-24.25,-1,1,1
0,603222.XSHG,2016-04-28,85.23,87.286,6.38,9.78,38.27,603222.XSHG,0.94,0.92,0.78,6.46,43.8,91.99,8.16,6.46,20.17,13.78,0.01,97.52,1.8,97.48,80.39,-3.38,-42.17,-9.72,-0.62,-9.72,-0.62,-42.62,-38.94,-40.01,-47.52,-38.39,-46.25,-1,1,1
0,603222.XSHG,2016-08-25,97.94,89.9142,6.39,10.63,49.24,603222.XSHG,0.8291,0.8677,0.6422,5.2264,44.2716,93.2655,7.2041,5.2264,22.0378,15.9713,-1.4327,107.9409,7.5267,104.6668,108.1569,17.2019,255.4283,-4.3375,2.7827,-4.3375,2.7827,-41.7164,-9.248,-51.4269,-16.8198,-46.9589,-11.5606,-1,-1,-1
0,603222.XSHG,2016-10-27,110.53,90.0997,6.44,10.77,-93.44,603222.XSHG,1.7411,1.7286,1.4311,10.3394,47.533,88.3969,12.181,10.3394,21.1059,12.9075,-0.2567,99.8703,4.9743,99.2793,93.5563,15.2702,131.6046,-0.4979,14.7958,-0.4979,14.7958,-26.8603,94.1007,-25.1166,127.1,-23.922,111.2871,-1,1,1
0,603222.XSHG,2017-03-30,161.99,115.1446,8.4,14.31,-406.92,603222.XSHG,2.0654,1.772,1.6522,12.342,45.789,86.7762,13.4926,12.342,21.2742,11.4969,-1.3997,86.3571,1.7549,85.7956,107.5477,32.0989,242.7353,17.6462,0.3321,17.6462,0.3321,19.5253,11.1351,18.7288,19.7652,21.3998,20.8802,-1,-1,-1
0,603222.XSHG,2017-04-28,116.59,116.5944,6.35,10.59,-249.86,603222.XSHG,1.1471,1.1337,0.8336,6.6974,42.6269,91.3703,8.6297,6.6974,16.8089,12.2384,2.0635,98.5309,,98.8244,85.0202,-7.1373,-82.7069,29.9047,9.7335,29.9047,9.7335,37.3958,-29.8159,34.7181,-40.4532,27.4103,-43.5933,-1,-1,-1
,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
0,603223.XSHG,2015-08-25,33.89,29.3621,2.58,2.49,-817.72,603223.XSHG,1.91,1.91,1.18,1.66,5.19,98.01,1.99,1.66,0.21,2.19,0.6,90.22,0.0,,118.28,4.68,235.25,,53.89,,53.89,,36.25,,20.66,,12.67,1,1,1
0,603223.XSHG,2015-10-31,85.39,78.5197,6.91,2.37,16.24,603223.XSHG,1.71,1.33,0.86,1.28,5.51,98.8,1.2,1.28,0.71,3.33,0.31,73.03,0.0,77.71,120.95,-0.18,-14.96,64.95,-13.33,64.95,-13.33,-55.28,-47.76,-53.98,-33.18,-46.61,-9.56,1,1,1
0,603223.XSHG,2016-04-29,121.0,94.7584,8.22,2.55,125.16,603223.XSHG,4.4,2.92,3.06,4.47,10.35,95.52,4.55,4.47,0.49,3.21,0.24,72.66,1.06,66.45,56.66,21.53,480.44,60.89,3.56,60.89,3.56,40.02,292.92,61.51,261.34,36.54,162.81,-1,-1,-1
0,603223.XSHG,2016-04-30,96.44,84.5759,6.55,2.03,99.76,603223.XSHG,1.97,1.48,1.6,3.71,10.03,96.07,3.98,3.71,0.66,3.99,0.24,79.48,0.98,74.88,97.69,-1.9,-48.41,-1.98,-29.04,-1.98,-29.04,73.53,-37.95,71.34,-41.18,55.2,-42.05,-1,-1,-1
0,603223.XSHG,2016-08-30,76.17,83.3947,6.11,1.81,69.98,603223.XSHG,2.7459,2.4766,2.2241,4.0084,9.5475,95.2051,5.0127,4.0084,0.4465,3.6035,0.4338,88.2383,4.0067,90.1947,106.6141,10.3878,216.6417,-14.7913,33.7771,-14.7913,33.7771,114.8323,68.6751,105.314,44.5819,94.9427,41.5231,-1,1,1
0,603223.XSHG,2016-10-26,76.68,98.0355,7.09,2.22,-28.23,603223.XSHG,2.7019,2.8732,2.114,3.6809,9.27,95.1102,5.22,3.6809,0.4979,4.2248,0.1134,99.2795,6.7041,106.3422,98.1087,8.5735,175.3349,3.8892,5.6714,3.8892,5.6714,352.5657,10.0421,198.1732,-2.9644,116.4677,0.4315,-1,-1,-1
0,603223.XSHG,2017-04-11,62.73,92.6516,6.54,2.09,-2783.4299,603223.XSHG,2.1571,1.5326,1.6881,2.0617,7.9793,97.9308,2.2443,2.0617,0.763,4.4115,0.0755,70.8044,5.9938,71.0466,145.2128,0.542,26.1945,41.1712,40.7234,41.1712,40.7234,-30.311,-39.4958,-34.9573,-21.1785,-32.6237,-18.199,-1,-1,-1
0,603223.XSHG,2017-04-28,57.76,85.6197,6.02,1.92,-2563.05,603223.XSHG,2.4983,2.2336,2.2052,2.8992,7.8089,96.6114,3.5472,2.8992,0.3103,3.3488,0.1225,88.4742,4.1413,89.405,105.0767,8.182,241.4563,86.1177,-6.4418,86.1177,-6.4418,66.065,47.8709,45.487,31.5631,37.8819,18.5909,-1,-1,-1
,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
0,603225.XSHG,2017-08-08,24.7648,29.7723,4.1266,1.1557,367.5604,603225.XSHG,6.7511,6.5003,3.0473,4.9969,10.0949,93.8978,6.3336,4.9969,0.3891,2.8018,0.7301,95.6976,1.3229,96.285,100.8873,13.2616,217.3252,38.3707,31.9696,38.3707,31.9696,487.7596,35.3532,425.5828,32.9758,441.2887,32.6856,-1,-1,-1
""
,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
0,603227.XSHG,2015-08-26,72.48,87.222,6.35,8.22,139.9,603227.XSHG,7.65,7.65,4.1,32.19,35.18,89.89,10.0,32.19,2.66,12.3,2.92,25.26,-0.29,,73.4,30.07,297.33,-8.15,156.2,-8.15,156.2,-65.29,613.03,28.27,1164.14,55.66,1266.72,1,1,1
0,603227.XSHG,2015-10-26,56.94,86.5768,6.3,8.38,15.87,603227.XSHG,2.78,0.37,2.06,18.97,34.12,89.52,11.17,18.97,3.11,13.48,5.0,44.42,2.93,13.37,103.38,-3.02,-28.81,-12.53,-14.62,-12.53,-14.62,-60.08,-4.59,-23.86,-49.69,-30.76,-63.14,1,1,1
0,603227.XSHG,2016-04-26,93.12,128.0622,9.1,12.87,41.24,603227.XSHG,0.17,1.55,0.34,3.05,27.24,89.66,10.44,3.05,0.76,12.31,-2.53,231.81,2.33,921.45,125.27,26.29,254.34,-1.73,10.61,-1.73,10.61,1.35,3.34,-76.21,-82.22,-91.68,-93.95,-1,-1,-1
0,603227.XSHG,2016-04-26,57.85,68.732,5.65,7.99,25.62,603227.XSHG,-0.33,-2.38,-0.19,-4.61,13.52,129.59,-29.06,-4.61,5.03,29.84,5.71,862.71,-15.44,,83.2,-53.36,180.36,9.47,-54.75,9.47,-54.75,-537.02,-225.94,34.85,-168.44,38.48,-336.61,-1,-1,-1
0,603227.XSHG,2016-08-26,65.01,66.7541,5.22,7.28,13.05,603227.XSHG,1.1838,0.8883,0.9008,9.6895,29.5531,91.9361,8.266,9.6895,2.4141,13.1419,2.6891,69.3672,1.739,75.0331,81.0359,6.3654,78.937,-2.5281,128.1205,-2.5281,128.1205,-19.4184,164.8963,-70.656,579.2952,-81.2575,455.4513,1,1,1
0,603227.XSHG,2016-10-28,167.25,61.3304,4.74,6.74,74.29,603227.XSHG,-0.7596,-0.8031,-0.0465,-0.578,25.287,98.454,1.8774,-0.578,3.1437,16.6283,3.1936,70.5895,15.1331,105.7267,95.6679,21.3151,1378.7231,-3.4065,-15.3943,-3.4065,-15.3943,-83.77,-80.7838,-102.9436,-105.0469,-131.8648,-162.6651,-1,-1,-1
0,603227.XSHG,2017-04-26,-2033.6801,57.4364,4.7,6.35,17.64,603227.XSHG,-2.2976,-1.5618,-0.965,-7.9708,28.1472,107.0193,-7.4714,-7.9708,2.0219,13.4142,1.1809,64.533,4.1564,67.9748,107.9225,9.0122,-128.3915,28.9938,47.7114,28.9938,47.7114,-192.3189,-687.8309,-1376.533,-1936.9839,-556.0503,-189.825,-1,-1,-1
0,603227.XSHG,2017-04-26,-2713.22,76.35,6.27,8.47,23.53,603227.XSHG,-2.2561,-2.5782,-1.0346,-20.5437,8.0037,122.6221,-22.6064,-20.5437,3.4121,22.8446,2.8651,118.2372,-0.0822,114.2749,86.7087,-56.1719,248.3056,18.5658,-58.4107,18.5658,-58.4107,7.7536,-25.8371,-428.1712,-7.1916,-519.0704,4.1045,-1,-1,-1
,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
0,603228.XSHG,2017-04-28,37.58,45.2568,11.39,6.12,163.91,603228.XSHG,5.146,5.053,3.3906,16.7075,32.5626,79.7825,20.2175,16.7075,3.0552,8.4441,0.2442,98.1125,,98.1924,97.7764,22.1194,109.4074,33.0114,2.4164,33.0114,2.4164,47.4705,24.9368,46.412,18.2615,46.412,18.2615,-1,-1,-1
0,603228.XSHG,2017-08-15,33.63,36.6279,6.9087,5.6122,19.5493,603228.XSHG,5.4667,5.594,3.6662,15.463,31.5928,81.076,19.9328,15.463,2.9749,7.8071,0.2664,102.1725,,102.3274,94.2278,8.4021,44.3994,30.2752,17.7657,30.2752,17.7657,27.3387,16.1074,16.5806,8.994,16.5806,8.994,-1,-1,-1
""
""
""
,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
0,603238.XSHG,2017-04-27,70.62,64.4796,13.44,9.02,857.0,603238.XSHG,1.4136,1.0212,1.2268,7.6895,18.8932,93.3502,6.6498,7.6895,4.9296,7.5871,-0.4487,72.546,,72.2414,109.9173,-4.683,-70.4224,-10.7539,,-10.7539,,-51.5554,,-34.4964,,-34.4964,,-1,-1,-1
,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
0,603239.XSHG,2017-04-20,59.46,101.7822,10.17,15.24,20.96,603239.XSHG,6.7142,6.4822,5.5927,31.5867,48.352,65.3418,34.7101,31.5867,5.2281,8.2979,-0.0928,93.6772,0.1402,96.5443,43.9455,-8.9557,-25.8401,49.4337,,49.4337,,67.744,,81.2629,,81.2629,,1,1,1
0,603239.XSHG,2017-07-31,39.7004,46.9268,7.9678,10.8435,112.748,603239.XSHG,3.7309,3.6821,3.2622,21.0654,43.231,75.9132,24.6751,21.0654,5.0841,12.6215,-0.0239,96.5617,2.3585,98.6932,99.1892,7.2355,30.0395,30.1288,-14.7773,30.1288,-14.7773,22.0599,-39.4159,48.3221,-43.1642,48.3221,-43.1642,-1,-1,-1
,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
0,603258.XSHG,2017-03-28,55.39,65.8763,23.22,28.52,220.46,603258.XSHG,5.3939,3.7415,4.0869,46.4606,91.9872,74.6435,28.8407,46.4606,11.2887,42.1318,-4.698,59.4783,,69.365,136.0774,85.0929,335.5858,-4.4697,-7.0444,-4.4697,-7.0444,-40.8824,-40.5294,-6.2323,0.2601,-2.2074,4.6442,-1,-1,-1
0,603258.XSHG,2017-04-26,49.98,49.979,8.26,25.89,18.57,603258.XSHG,3.7023,3.7824,3.1235,48.3313,93.1706,44.5238,54.2262,48.3313,13.5265,31.2364,-9.3087,102.1688,-2.3022,102.1651,93.113,35.3505,63.7218,-14.5372,0.2978,-14.5372,0.2978,-26.561,88.5795,-28.7839,4.3362,-28.0745,0.1619,-1,-1,-1
0,603258.XSHG,2017-08-08,42.2228,38.4612,6.5322,20.7751,28.4061,603258.XSHG,1.759,1.8925,1.5745,27.7315,91.1697,65.3596,31.5301,27.7315,22.6721,44.8523,-5.2579,107.2523,-9.6301,107.5917,72.3685,8.0689,23.2935,-4.6067,-14.0191,-4.6067,-14.0191,-43.8848,-50.006,-51.8774,-50.666,-54.4628,-52.7098,-1,-1,-1
